,no,price,second,rating
0,1,5000,0,Hyper
1,1,5000,1,Hyper
2,2,5000,0,Hyper
3,3,6000,0,Hyper
4,4,4500,0,Epic
5,4,4500,1,Epic
6,5,5000,0,Epic
7,6,6000,0,Hyper
8,7,5000,0,Epic
9,7,5000,1,Epic
10,8,4500,0,Epic
11,9,5000,0,Epic
12,10,2000,0,Rare
13,11,2000,0,Rare
14,12,3000,0,Rare
15,13,2000,0,Rare
16,14,2000,0,Rare
17,15,2000,0,Rare
18,16,2000,0,Rare
19,17,3000,0,Rare
20,18,4500,0,Epic
21,19,1500,0,Norma
22,20,1500,0,Norma
23,21,2000,0,Rare
24,22,2000,0,Rare
25,23,2500,0,Rare
26,24,2500,0,Rare
27,25,7000,0,Hyper
28,25,7000,0,Epic
29,26,5000,0,Epic
30,27,4000,0,Epic
31,28,2500,0,Rare
32,29,1000,0,Norma
33,30,1000,0,Norma
34,31,2000,0,Rare
35,32,1000,0,Norma
36,33,1000,0,Norma
37,34,2000,0,Rare
38,35,4000,0,Epic
39,36,4000,0,Epic
40,37,4000,0,Epic
41,38,5500,0,Epic
42,39,4000,0,Epic
43,40,3000,0,Epic
44,41,2000,0,Rare
45,42,2000,0,Rare
46,43,2000,0,Rare
47,44,2500,0,Rare
48,45,2500,0,Rare
49,46,2000,0,Rare
50,47,2000,0,Rare
51,48,2000,0,Rare
52,49,3000,0,Rare
53,50,4000,0,Epic
54,51,3000,0,Rare
55,52,6500,0,Hyper
56,53,5000,0,Epic
57,54,8500,0,Hyper
58,55,5000,0,Epic
59,56,3000,0,Rare
60,57,3500,0,Rare
61,58,3000,0,Epic
62,59,4000,0,Epic
63,60,3000,0,Rare
64,61,2500,0,Rare
65,62,3000,0,Rare
66,63,3500,0,Epic
67,64,5000,0,Epic
68,65,4500,0,Epic
69,66,3000,0,Rare
70,67,3000,0,Rare
71,68,3000,0,Rare
72,69,2000,0,Rare
73,70,2000,0,Rare
74,71,2500,0,Rare
75,72,2000,0,Rare
76,73,3500,0,Rare
77,74,3000,0,Rare
78,75,3000,0,Rare
79,76,3000,0,Rare
80,77,4500,0,Epic
81,78,5000,0,Epic
82,79,4000,0,Epic
83,80,4500,0,Epic
84,81,3000,0,Rare
85,82,4000,0,Epic
86,83,3000,0,Rare
87,84,2500,0,Rare
88,85,2500,0,Rare
89,86,3000,0,Rare
90,87,4500,0,Epic
91,88,3500,0,Epic
92,89,3000,0,Rare
93,90,3000,0,Rare
94,91,3000,0,Rare
95,92,5500,0,Hyper
96,93,5000,0,Epic
97,94,4500,0,Epic
98,95,5000,0,Hyper
99,96,3000,0,Rare
100,97,3500,0,Rare
101,98,2500,0,Rare
102,99,2500,0,Rare
103,100,4000,0,Epic
104,101,6000,0,Hyper
105,102,4000,0,Rare
106,103,4000,0,Rare
107,104,3000,0,Rare
108,105,2500,0,Rare
109,106,2000,0,Rare
110,107,2500,0,Rare
111,108,2000,0,Rare
112,109,5500,0,Hyper
113,110,6000,0,Hyper
114,111,2500,0,Rare
115,112,3500,0,Rare
116,113,3000,0,Rare
117,114,3500,0,Rare
118,115,6000,0,Hyper
119,116,4000,0,Epic
120,117,5000,0,Epic
121,118,2500,0,Rare
122,119,3000,0,Rare
123,120,3500,0,Rare
124,121,4000,0,Epic
125,122,4000,0,Epic
126,123,3500,0,Rare
127,124,5500,0,Epic
128,125,5000,0,Epic
129,126,6500,0,Hyper
130,127,4000,0,Rare
131,128,4000,0,Epic
132,129,5000,0,Epic
133,130,8000,0,Hyper
134,131,3500,0,Epic
135,132,4000,0,Epic
136,133,3000,0,Epic
137,132,3000,1,Epic
138,134,3500,0,Epic
139,135,4000,0,Epic
140,136,4000,0,Epic
141,137,3500,0,Rare
142,138,3000,0,Rare
143,139,4500,0,Epic
144,140,3000,0,Rare
145,141,3500,0,Rare
146,142,3500,0,Rare
147,143,7500,0,Hyper
148,143,7500,1,Hyper
149,144,8000,0,Hyper
150,145,8000,0,Hyper
151,146,5500,0,Epic
152,147,6000,0,Epic
153,148,7000,0,Hyper
154,149,10000,0,Legendary
155,150,50000,0,Legendary
156,150,50000,0,Legendary
157,151,50000,0,Legendary
158,151,50000,1,Legendary
